ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
2020,1,Boğaziçi Üniversitesi,20,BEYOĞLU,1
2019,1,Sakarya Üniversitesi,22,GAZİOSMANPAŞA,1
2020,1,Selçuk Üniversitesi,22,AVCILAR,1
2020,1,Ağrı İbrahim Çeçen Üniversitesi,20,ARNAVUTKÖY,1
2019,1,Uşak Üniversitesi,21,SANCAKTEPE,1
2019,2,Sakarya Uygulamalı Bilimler Üniversitesi,22,SULTANBEYLİ,6
2020,1,Pamukkale Üniversitesi,20,MALTEPE,1
2020,1,İstanbul Sabahattin Zaim Üniversitesi,22,KÜÇÜKÇEKMECE,3
2019,2,Atatürk Üniversitesi,23,KARTAL,1
2019,2,Aydın Adnan Menderes,22,PENDİK,3
2019,2,İstanbul Üniversitesi,23,ESENLER,5
2019,1,İzmir Demokrasi Üniversitesi,20,ATAŞEHİR,1
2020,1,Erzincan Binali Yıldırım Üniversitesi,20,BÜYÜKÇEKMECE,1
2019,2,İstanbul Esenyurt Üniversitesi,22,GAZİOSMANPAŞA,1
2019,1,İstanbul Gelişim Üniversitesi,22,BAŞAKŞEHİR,1
2019,1,Van Yüzüncü Yıl Üniversitesi,24,ÜMRANİYE,1
2019,2,Kırklareli Üniversitesi,26,ARNAVUTKÖY,1
2020,1,Muğla Sıtkı Koçman Üniversitesi,23,EYÜPSULTAN,1
2019,1,Eskişehir Teknik Üniversitesi,20,ÜMRANİYE,1
2019,2,Sağlık Bilimleri Üniversitesi,20,KAĞITHANE,5
2019,2,Pamukkale Üniversitesi,20,SANCAKTEPE,2
2019,2,Karabük Üniversitesi,22,KÜÇÜKÇEKMECE,2
2020,1,Akdeniz Üniversitesi,21,SULTANGAZİ,7
2019,2,Çanakkale Onsekiz Mart Üniversitesi,22,SULTANGAZİ,4
2020,1,Zonguldak Bülent Ecevit Üniversitesi,19,ARNAVUTKÖY,3
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,21,ÜMRANİYE,8
2020,1,Karabük Üniversitesi,21,ATAŞEHİR,2
2019,2,Boğaziçi Üniversitesi,24,BEYLİKDÜZÜ,2
2020,1,İstanbul Medipol Üniversitesi,20,ÜMRANİYE,6
2020,1,Ondokuz Mayıs Üniversitesi,18,SULTANGAZİ,1
2019,1,Kırıkkale Üniversitesi,24,ESENLER,1
2020,1,İstanbul Gedik Üniversitesi,19,SULTANBEYLİ,2
2019,2,Aydın Adnan Menderes,24,ZEYTİNBURNU,1
2019,2,Düzce Üniversitesi,23,SANCAKTEPE,3
2019,1,Kırıkkale Üniversitesi,21,ESENYURT,1
2020,1,Kütahya Dumlupınar Üniversitesi,19,BAĞCILAR,2
2019,1,Tobb Ekonomi Ve Teknoloji Üniversitesi,24,GAZİOSMANPAŞA,1
2019,1,Üsküdar Üniversitesi,26,FATİH,1
2019,2,Bolu Abant İzzet Baysal Üniversitesi,21,ESENLER,5
2019,1,Beykent Üniversitesi,21,ÜMRANİYE,1
2020,1,Kadir Has Üniversitesi,21,KAĞITHANE,2
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,21,ESENLER,4
2020,1,İstanbul Sabahattin Zaim Üniversitesi,22,BEYLİKDÜZÜ,1
2020,1,Kütahya Dumlupınar Üniversitesi,20,KARTAL,3
2019,2,Biruni Üniversitesi,23,ESENLER,1
2019,2,İstanbul Üniversitesi,23,GÜNGÖREN,7
2020,1,Düzce Üniversitesi,19,BEYKOZ,2
2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,19,BAĞCILAR,7
2019,1,İstanbul Gedik Üniversitesi,21,TUZLA,3
2019,2,Kırklareli Üniversitesi,22,SULTANBEYLİ,9
2019,2,Bolu Abant İzzet Baysal Üniversitesi,20,SANCAKTEPE,2
2020,1,İstanbul Esenyurt Üniversitesi,20,AVCILAR,3
2019,2,Kütahya Dumlupınar Üniversitesi,19,ÜMRANİYE,1
2020,1,İstanbul Gedik Üniversitesi,20,BAĞCILAR,1
2019,1,Hacettepe Üniversitesi,22,SULTANBEYLİ,1
2020,1,Altınbaş Üniversitesi,23,BÜYÜKÇEKMECE,1
2020,1,Necmettin Erbakan Üniversitesi,24,SULTANBEYLİ,1
2020,1,Erciyes Üniversitesi,20,KADIKÖY,1
2020,1,Kafkas Üniversitesi,21,SANCAKTEPE,1
2019,2,Gebze Teknik Üniversitesi,23,KARTAL,2
2019,1,Tekirdağ Namık Kemal,22,ATAŞEHİR,1
2020,1,Bartın Üniversitesi,19,KADIKÖY,1
2020,1,İstanbul Kent Üniversitesi,22,ESENLER,2
2020,1,İstinye Üniversitesi,18,BEYLİKDÜZÜ,1
2019,1,İnönü Üniversitesi,21,BAĞCILAR,1
2019,2,Üsküdar Üniversitesi,19,ESENLER,1
2019,2,Kırklareli Üniversitesi,20,BEYLİKDÜZÜ,2
2020,1,İzmir Katip Çelebi Üniversitesi,24,GAZİOSMANPAŞA,1
2019,1,Burdur Mehmet Akif Ersoy Üniversitesi,19,PENDİK,1
2020,1,İstanbul Galata Üniversitesi,19,ESENYURT,1
2019,1,Çanakkale Onsekiz Mart Üniversitesi,22,SİLİVRİ,2
2019,1,Gebze Teknik Üniversitesi,23,SANCAKTEPE,1
2019,1,İstanbul Medeniyet Üniversitesi,21,SULTANGAZİ,4
2019,2,Çanakkale Onsekiz Mart Üniversitesi,22,KÜÇÜKÇEKMECE,2
2020,1,Dokuz Eylül Üniversitesi,21,GAZİOSMANPAŞA,2
2019,1,Zonguldak Bülent Ecevit Üniversitesi,20,SULTANBEYLİ,1
2019,1,İstanbul Kültür Üniversitesi,23,KÜÇÜKÇEKMECE,4
2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,22,BAĞCILAR,1
2019,2,Ankara Hacı Bayram Veli Üniversitesi,22,BEŞİKTAŞ,1
2020,1,İstanbul Üniversitesi-Cerrahpaşa,19,ZEYTİNBURNU,11
2020,1,Karadeniz Teknik Üniversitesi,20,ARNAVUTKÖY,3
2019,1,İstinye Üniversitesi,19,BAYRAMPAŞA,1
2019,1,Konya Teknik Üniversitesi,20,BÜYÜKÇEKMECE,1
2020,1,İstanbul Üniversitesi-Cerrahpaşa,20,BÜYÜKÇEKMECE,9
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,20,EYÜPSULTAN,2
2019,1,Bahçeşehir Üniversitesi,21,SULTANGAZİ,1
2020,1,Haliç Üniversitesi,24,BAHÇELİEVLER,1
2020,1,Yıldız Teknik Üniversitesi,19,BAHÇELİEVLER,11
2019,1,Sivas Cumhuriyet Üniversitesi,21,SULTANBEYLİ,1
2019,1,Ordu Üniversitesi,25,ESENYURT,1
2019,1,Ankara Üniversitesi,19,ÜMRANİYE,1
2019,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,GÜNGÖREN,1
2020,1,Bursa Uludağ Üniversitesi,21,BEYLİKDÜZÜ,3
2020,1,Ankara Üniversitesi,24,SİLİVRİ,1
2020,1,Sivas Cumhuriyet Üniversitesi,21,SİLİVRİ,1
2020,1,Balıkesir Üniversitesi,19,BAYRAMPAŞA,1
2020,1,İzmir Demokrasi Üniversitesi,20,ARNAVUTKÖY,1
2019,1,Yeditepe Üniversitesi,26,GÜNGÖREN,1
2019,2,İstanbul Teknik Üniversitesi,22,KÜÇÜKÇEKMECE,2
2020,1,Beykent Üniversitesi,19,KADIKÖY,1
2019,2,Muğla Sıtkı Koçman Üniversitesi,22,GÜNGÖREN,1
2020,1,Kocaeli Üniversitesi,23,BEŞİKTAŞ,1
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,18,PENDİK,1
2020,1,Yıldız Teknik Üniversitesi,20,ARNAVUTKÖY,5
2020,1,İstanbul Medipol Üniversitesi,21,ÜSKÜDAR,3
2019,1,Türk-Alman Üniversitesi,19,KADIKÖY,1
2020,1,İstanbul Üniversitesi-Cerrahpaşa,22,ŞİŞLİ,6
2019,1,Atatürk Üniversitesi,22,AVCILAR,1
2019,2,Çanakkale Onsekiz Mart Üniversitesi,24,SULTANBEYLİ,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,22,BAYRAMPAŞA,2
2019,2,İstanbul Medeniyet Üniversitesi,21,BEYKOZ,4
2020,1,Maltepe Üniversitesi,20,ATAŞEHİR,2
2020,1,İstanbul Teknik Üniversitesi,26,BEYOĞLU,1
2019,2,Süleyman Demirel Üniversitesi,20,ESENYURT,2
2019,1,Selçuk Üniversitesi,19,ATAŞEHİR,2
2019,2,Kırklareli Üniversitesi,19,SİLİVRİ,1
2019,2,Kastamonu Üniversitesi,21,ESENYURT,5
2020,1,Recep Tayyip Erdoğan,24,ÜMRANİYE,1
2019,2,Marmara Üniversitesi,23,SULTANBEYLİ,8
2019,1,Aydın Adnan Menderes,22,BAĞCILAR,1
2019,2,Beykoz Üniversitesi,20,GÜNGÖREN,1
2019,1,Çanakkale Onsekiz Mart Üniversitesi,22,BÜYÜKÇEKMECE,3
2020,1,Türk-Alman Üniversitesi,21,MALTEPE,2
2020,1,Sivas Cumhuriyet Üniversitesi,19,ÜMRANİYE,1
2019,2,İstanbul Teknik Üniversitesi,19,BAŞAKŞEHİR,1
2019,2,İstanbul Medeniyet Üniversitesi,23,KÜÇÜKÇEKMECE,3
2019,1,İstanbul Üniversitesi-Cerrahpaşa,26,AVCILAR,1
2020,1,Galatasaray Üniversitesi,24,ÜSKÜDAR,1
2019,2,Atatürk Üniversitesi,22,ESENYURT,2
2019,1,Balıkesir Üniversitesi,22,TUZLA,2
2019,2,İstanbul Teknik Üniversitesi,20,BAĞCILAR,1
2020,1,İzmir Katip Çelebi Üniversitesi,21,AVCILAR,1
2020,1,Marmara Üniversitesi,21,PENDİK,32
2019,2,İstanbul Yeni Yüzyıl Üniversitesi,20,SULTANGAZİ,2
2019,1,Sakarya Üniversitesi,23,SARIYER,1
2020,1,Fatih Sultan Mehmet Vakıf Üniversitesi,20,SANCAKTEPE,1
2020,1,Bartın Üniversitesi,20,GÜNGÖREN,1
2019,1,İstanbul Medeniyet Üniversitesi,20,PENDİK,5
2019,2,Kırıkkale Üniversitesi,20,PENDİK,2
2019,2,Selçuk Üniversitesi,22,FATİH,3
2019,1,İstanbul Gelişim Üniversitesi,23,ESENYURT,2
2019,2,İstanbul Teknik Üniversitesi,22,BEYLİKDÜZÜ,3
2020,1,Bahçeşehir Üniversitesi,21,BAHÇELİEVLER,2
2019,2,Işık Üniversitesi,21,KAĞITHANE,1
2019,1,Kocaeli Üniversitesi,22,BAĞCILAR,12
2019,2,Yıldız Teknik Üniversitesi,20,FATİH,6
2019,1,İstanbul Gelişim Üniversitesi,24,ŞİLE,1
2020,1,Süleyman Demirel Üniversitesi,19,PENDİK,2
2020,1,Hacettepe Üniversitesi,22,BÜYÜKÇEKMECE,1
2020,1,Bursa Uludağ Üniversitesi,23,SULTANBEYLİ,3
2020,1,Kütahya Dumlupınar Üniversitesi,21,ÇATALCA,1
2019,1,Burdur Mehmet Akif Ersoy Üniversitesi,22,FATİH,1
2019,1,Burdur Mehmet Akif Ersoy Üniversitesi,20,BAŞAKŞEHİR,2
2020,1,Ordu Üniversitesi,22,KADIKÖY,1
2020,1,İstanbul Okan Üniversitesi,20,MALTEPE,1
2020,1,Bitlis Eren Üniversitesi,18,TUZLA,1
2020,1,Eskişehir Osmangazi Üniversitesi,21,PENDİK,2
2019,2,Fenerbahçe Üniversitesi,21,ZEYTİNBURNU,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,23,SULTANGAZİ,2
2020,1,Bolu Abant İzzet Baysal Üniversitesi,21,GAZİOSMANPAŞA,5
2020,1,Yalova Üniversitesi,25,KÜÇÜKÇEKMECE,1
2020,1,Kütahya Dumlupınar Üniversitesi,19,ESENYURT,1
2020,1,Van Yüzüncü Yıl Üniversitesi,20,ESENYURT,1
2020,1,Hatay Mustafa Kemal Üniversitesi,22,BAHÇELİEVLER,1
2019,2,Mersin Üniversitesi,22,SULTANGAZİ,1
2019,1,Bayburt Üniversitesi,20,BÜYÜKÇEKMECE,1
2020,1,Yeditepe Üniversitesi,21,ESENLER,1
2020,1,Düzce Üniversitesi,20,BAHÇELİEVLER,9
2019,2,İstanbul Teknik Üniversitesi,25,GAZİOSMANPAŞA,1
2020,1,Sivas Cumhuriyet Üniversitesi,22,AVCILAR,1
2019,2,Yıldız Teknik Üniversitesi,23,SULTANBEYLİ,2
2019,2,İstanbul Aydın Üniversitesi,20,SANCAKTEPE,1
2019,1,Boğaziçi Üniversitesi,24,SULTANBEYLİ,1
2020,1,Dicle Üniversitesi,22,BAHÇELİEVLER,4
2020,1,Bursa Uludağ Üniversitesi,19,BEYKOZ,1
2020,1,İnönü Üniversitesi,23,BAŞAKŞEHİR,1
2019,2,İstanbul Teknik Üniversitesi,20,ZEYTİNBURNU,1
2020,1,Yalova Üniversitesi,23,BAĞCILAR,3
2020,1,Ondokuz Mayıs Üniversitesi,20,MALTEPE,2
2020,1,Kahramanmaraş Sütçü İmam Üniversitesi,22,ESENYURT,1
2019,2,Ataşehir Adıgüzel Meslek Yüksekokulu,20,ATAŞEHİR,1
2019,1,Van Yüzüncü Yıl Üniversitesi,24,KAĞITHANE,1
2020,1,Çukurova Üniversitesi,21,ESENYURT,1
2019,1,Boğaziçi Üniversitesi,19,ÜMRANİYE,1
2019,2,İstanbul Sabahattin Zaim Üniversitesi,20,SULTANGAZİ,1
2020,1,Kırıkkale Üniversitesi,22,BAHÇELİEVLER,1
2019,1,Tekirdağ Namık Kemal,22,ARNAVUTKÖY,5
2019,2,Giresun Üniversitesi,22,GAZİOSMANPAŞA,1
2020,1,Uşak Üniversitesi,20,SULTANGAZİ,1
2020,1,Haliç Üniversitesi,21,BAKIRKÖY,1
2020,1,Sakarya Üniversitesi,21,MALTEPE,9
2020,1,İstanbul Aydın Üniversitesi,22,ESENLER,1
2019,1,Bursa Uludağ Üniversitesi,22,ESENLER,1
2020,1,Tekirdağ Namık Kemal,21,BÜYÜKÇEKMECE,3
2019,1,Kütahya Dumlupınar Üniversitesi,23,KAĞITHANE,1
2020,1,Ankara Hacı Bayram Veli Üniversitesi,19,SULTANGAZİ,3
2020,1,İstanbul Sağlık ve Teknoloji Üniversitesi,19,BAŞAKŞEHİR,1
2019,1,Boğaziçi Üniversitesi,26,BAYRAMPAŞA,1
2020,1,Kocaeli Üniversitesi,21,SULTANBEYLİ,22
2019,2,İstanbul Gelişim Üniversitesi,21,KAĞITHANE,2
2020,1,İstanbul Üniversitesi,23,ÇATALCA,1
2019,1,Kocaeli Üniversitesi,20,BAYRAMPAŞA,1
2019,1,Sivas Cumhuriyet Üniversitesi,21,MALTEPE,2
2019,2,Tekirdağ Namık Kemal,23,ÜMRANİYE,3
2020,1,Tekirdağ Namık Kemal,24,BAHÇELİEVLER,8
2019,1,Anadolu Üniversitesi,20,BAHÇELİEVLER,1
2019,2,Karadeniz Teknik Üniversitesi,21,BEYLİKDÜZÜ,1
2020,1,Karabük Üniversitesi,21,BAĞCILAR,6
2020,1,Yıldız Teknik Üniversitesi,23,EYÜPSULTAN,3
2020,1,Kırşehir Ahi Evran Üniversitesi,19,ARNAVUTKÖY,1
2019,1,Selçuk Üniversitesi,21,SULTANGAZİ,1
2019,1,Eskişehir Osmangazi Üniversitesi,23,ESENYURT,1
2019,2,Marmara Üniversitesi,23,MALTEPE,13
2019,2,Kırşehir Ahi Evran Üniversitesi,21,ESENYURT,3
2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,21,BAŞAKŞEHİR,2
2020,1,Ondokuz Mayıs Üniversitesi,20,SULTANBEYLİ,4
2020,1,Yalova Üniversitesi,19,SULTANBEYLİ,5
2019,2,Sivas Cumhuriyet Üniversitesi,22,ESENLER,2
2020,1,Giresun Üniversitesi,21,SANCAKTEPE,2
2019,1,Süleyman Demirel Üniversitesi,20,KÜÇÜKÇEKMECE,2
2019,2,Ordu Üniversitesi,21,SANCAKTEPE,1
2020,1,Pamukkale Üniversitesi,25,BAHÇELİEVLER,1
2020,1,Yalova Üniversitesi,20,KADIKÖY,1
2019,2,İstanbul Üniversitesi,19,ARNAVUTKÖY,1
2020,1,Akdeniz Üniversitesi,20,KARTAL,2
2020,1,Karabük Üniversitesi,18,GAZİOSMANPAŞA,1
2019,2,İstanbul Üniversitesi-Cerrahpaşa,21,ESENLER,19
2020,1,Türk-Alman Üniversitesi,22,KADIKÖY,1
2020,1,Düzce Üniversitesi,24,EYÜPSULTAN,3
2020,1,İstanbul Gelişim Üniversitesi,23,BAĞCILAR,1
2019,1,Yıldız Teknik Üniversitesi,20,EYÜPSULTAN,5
2019,1,Biruni Üniversitesi,21,ESENLER,3
2019,2,Dokuz Eylül Üniversitesi,24,BAHÇELİEVLER,1
2020,1,Bolu Abant İzzet Baysal Üniversitesi,18,AVCILAR,2
2019,2,Sakarya Uygulamalı Bilimler Üniversitesi,20,ARNAVUTKÖY,3
2020,1,Atatürk Üniversitesi,22,BAŞAKŞEHİR,3
2020,1,Tokat Gaziosmanpaşa,19,PENDİK,1
2019,2,İnönü Üniversitesi,20,BAĞCILAR,1
2020,1,Marmara Üniversitesi,23,SANCAKTEPE,7
2019,2,İzmir Bakırçay Üniversitesi,22,PENDİK,1
2020,1,Biruni Üniversitesi,20,KÜÇÜKÇEKMECE,2
2019,2,İstanbul Üniversitesi,23,FATİH,22
2019,2,Atatürk Üniversitesi,23,MALTEPE,1
2020,1,Sağlık Bilimleri Üniversitesi,21,KAĞITHANE,4
2020,1,İstanbul Üniversitesi,18,BAĞCILAR,2
2019,1,Sakarya Üniversitesi,22,SANCAKTEPE,5
2020,1,Pamukkale Üniversitesi,21,SANCAKTEPE,2
2019,1,Fırat Üniversitesi,21,KAĞITHANE,1
2020,1,Ankara Sosyal Bilimler Üniversitesi,20,BAĞCILAR,1
2020,1,Aksaray Üniversitesi,21,BEYOĞLU,1
2020,1,Erciyes Üniversitesi,23,BAĞCILAR,1
2019,2,İstanbul Bilgi Üniversitesi,24,ZEYTİNBURNU,1
2020,1,Trakya Üniversitesi,19,ESENYURT,19
2020,1,Karabük Üniversitesi,23,BEYLİKDÜZÜ,3
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,21,BEYLİKDÜZÜ,1
2019,1,Bezm-İ Âlem Vakıf Üniversitesi,20,SULTANGAZİ,3
2019,2,Zonguldak Bülent Ecevit Üniversitesi,26,ESENYURT,1
2019,1,Ondokuz Mayıs Üniversitesi,21,BAĞCILAR,5
2020,1,Sinop Üniversitesi,21,ÇEKMEKÖY,1
2019,2,Kütahya Dumlupınar Üniversitesi,21,KARTAL,1
2020,1,Kırklareli Üniversitesi,19,ARNAVUTKÖY,11
2019,1,Nişantaşı Üniversitesi,24,ESENLER,1
2020,1,Kırklareli Üniversitesi,21,SULTANGAZİ,7
2020,1,Işık Üniversitesi,20,GAZİOSMANPAŞA,1
2019,2,Toros Üniversitesi,22,ZEYTİNBURNU,1
2020,1,Atatürk Üniversitesi,22,SULTANGAZİ,1
2020,1,Gümüşhane Üniversitesi,22,FATİH,1
2019,1,Marmara Üniversitesi,21,SİLİVRİ,1
2020,1,Tokat Gaziosmanpaşa,20,SULTANGAZİ,2
2020,1,Üsküdar Üniversitesi,18,KARTAL,1
2020,1,Balıkesir Üniversitesi,19,ESENLER,1
2019,2,Kırıkkale Üniversitesi,23,KARTAL,1
2020,1,Aydın Adnan Menderes,19,KÜÇÜKÇEKMECE,3
2019,2,İstanbul Üniversitesi,22,EYÜPSULTAN,8
2020,1,Orta Doğu Teknik Üniversitesi,19,BAYRAMPAŞA,1
2019,2,Türk-Alman Üniversitesi,22,BAKIRKÖY,1
2020,1,Üsküdar Üniversitesi,24,ÜMRANİYE,1
2020,1,İstanbul Okan Üniversitesi,20,SULTANBEYLİ,4
2020,1,İstanbul Ayvansaray Üniversitesi,20,GAZİOSMANPAŞA,1
2019,1,Karabük Üniversitesi,22,MALTEPE,1
2019,1,Akdeniz Üniversitesi,25,SİLİVRİ,1
2019,1,İstanbul Üniversitesi,23,SANCAKTEPE,6
2019,1,İstanbul Şehir Üniversitesi,19,PENDİK,1
2020,1,İstanbul Sabahattin Zaim Üniversitesi,23,ESENLER,2
2020,1,Bolu Abant İzzet Baysal Üniversitesi,22,BEŞİKTAŞ,1
2019,1,Gazi Üniversitesi,20,PENDİK,1
2020,1,Sakarya Üniversitesi,20,ÜSKÜDAR,4
2019,2,Aydın Adnan Menderes,24,ESENYURT,1
2019,1,Yıldız Teknik Üniversitesi,20,SANCAKTEPE,1
2019,2,İstanbul Medeniyet Üniversitesi,20,BAŞAKŞEHİR,3
2019,1,İstanbul Medeniyet Üniversitesi,21,ÜMRANİYE,2
2020,1,Pamukkale Üniversitesi,21,EYÜPSULTAN,1
2020,1,Eskişehir Osmangazi Üniversitesi,22,BAŞAKŞEHİR,3
2020,1,Gazi Üniversitesi,21,BAHÇELİEVLER,2
2020,1,Hacettepe Üniversitesi,23,KÜÇÜKÇEKMECE,1
2020,1,Gebze Teknik Üniversitesi,20,BEYOĞLU,1
2019,2,İstanbul Teknik Üniversitesi,21,FATİH,2
2020,1,Akdeniz Üniversitesi,19,ZEYTİNBURNU,1
2019,1,Karadeniz Teknik Üniversitesi,21,BAKIRKÖY,1
2019,1,Zonguldak Bülent Ecevit Üniversitesi,21,ÇATALCA,1
2020,1,Uluslararası Kıbrıs Üniversitesi,22,AVCILAR,1
2019,2,Sakarya Uygulamalı Bilimler Üniversitesi,22,SULTANGAZİ,2
2019,2,Zonguldak Bülent Ecevit Üniversitesi,21,ESENLER,1
2019,2,Trakya Üniversitesi,19,SULTANGAZİ,5
2019,2,İstanbul Medeniyet Üniversitesi,19,BEŞİKTAŞ,1
2020,1,Muğla Sıtkı Koçman Üniversitesi,22,KÜÇÜKÇEKMECE,3
2019,1,Beykoz Üniversitesi,24,SARIYER,1
2019,1,Tekirdağ Namık Kemal,20,ŞİŞLİ,1
2020,1,Çanakkale Onsekiz Mart Üniversitesi,21,ARNAVUTKÖY,8
2019,2,Tekirdağ Namık Kemal,22,PENDİK,3
2020,1,Dicle Üniversitesi,20,BEYOĞLU,1
2019,2,Haliç Üniversitesi,21,GAZİOSMANPAŞA,1
2019,1,Atatürk Üniversitesi,19,ÜMRANİYE,1
2019,2,Niğde Ömer Halisdemir,20,SULTANBEYLİ,1
2019,2,Balıkesir Üniversitesi,19,KAĞITHANE,2
2019,2,Sakarya Üniversitesi,22,BÜYÜKÇEKMECE,1
2019,1,Süleyman Demirel Üniversitesi,19,KARTAL,1
2020,1,Eskişehir Teknik Üniversitesi,24,ESENYURT,1
2019,1,Karadeniz Teknik Üniversitesi,21,BÜYÜKÇEKMECE,1
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,19,BEYKOZ,1
2019,1,Çanakkale Onsekiz Mart Üniversitesi,20,BAŞAKŞEHİR,1
2020,1,Gaziantep Üniversitesi,22,ÜMRANİYE,1
2019,2,Dicle Üniversitesi,22,ZEYTİNBURNU,1
2020,1,Aydın Adnan Menderes,18,SİLİVRİ,1
2019,1,Yıldız Teknik Üniversitesi,23,ŞİŞLİ,1
2020,1,Eskişehir Teknik Üniversitesi,21,BAĞCILAR,1
2019,2,Balıkesir Üniversitesi,22,ARNAVUTKÖY,1
2020,1,Manisa Celâl Bayar Üniversitesi,22,ŞİŞLİ,1
2019,2,Kocaeli Üniversitesi,25,BAHÇELİEVLER,1
2020,1,Bilecik Şeyh Edebali Üniversitesi,19,GAZİOSMANPAŞA,2
2019,2,Altınbaş Üniversitesi,20,KÜÇÜKÇEKMECE,1
2019,1,Türk-Alman Üniversitesi,20,GÜNGÖREN,1
2019,2,Çukurova Üniversitesi,23,BÜYÜKÇEKMECE,1
2019,1,Tokat Gaziosmanpaşa,19,KARTAL,1
2020,1,İstanbul Medeniyet Üniversitesi,25,SANCAKTEPE,1
2020,1,Ege Üniversitesi,22,BAKIRKÖY,1
2019,2,Erzurum Teknik Üniversitesi,23,ZEYTİNBURNU,1
2019,2,Ankara Üniversitesi,22,ESENYURT,1
2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,22,ÜSKÜDAR,2
2020,1,Bolu Abant İzzet Baysal Üniversitesi,22,BAYRAMPAŞA,2
2019,2,İstanbul Kent Üniversitesi,22,BEYOĞLU,1
2020,1,İzmir Bakırçay Üniversitesi,18,ESENLER,1
2019,2,İstanbul Okan Üniversitesi,22,BEYOĞLU,1
2019,1,Tekirdağ Namık Kemal,21,TUZLA,1
2019,1,İstanbul Üniversitesi-Cerrahpaşa,22,BEŞİKTAŞ,2
2020,1,Sağlık Bilimleri Üniversitesi,24,KADIKÖY,2
2019,2,Ankara Hacı Bayram Veli Üniversitesi,19,ESENYURT,1
2020,1,İstanbul Medeniyet Üniversitesi,18,SARIYER,2
2020,1,Atatürk Üniversitesi,22,ÜMRANİYE,4
2019,2,Bahçeşehir Üniversitesi,21,ZEYTİNBURNU,1
2020,1,İstanbul Aydın Üniversitesi,19,ESENYURT,3
2020,1,Sağlık Bilimleri Üniversitesi,21,ZEYTİNBURNU,11
2019,2,Düzce Üniversitesi,22,SANCAKTEPE,6
2019,1,Sinop Üniversitesi,20,PENDİK,1
2019,2,Kocaeli Üniversitesi,23,BAĞCILAR,2
2019,2,Marmara Üniversitesi,20,ÜMRANİYE,21
2019,2,İzmir Katip Çelebi Üniversitesi,20,ESENYURT,1
2019,2,Lefke Avrupa Üniversitesi,23,SULTANGAZİ,1
2019,2,Bolu Abant İzzet Baysal Üniversitesi,20,ESENLER,3
2020,1,Sağlık Bilimleri Üniversitesi,19,BAYRAMPAŞA,1
2020,1,Isparta Uygulamalı Bilimler Üniversitesi,19,SULTANBEYLİ,1
2019,2,Ankara Üniversitesi,23,AVCILAR,2
2019,2,Kastamonu Üniversitesi,20,SANCAKTEPE,1
2020,1,Marmara Üniversitesi,21,BAHÇELİEVLER,24
2019,1,Hacettepe Üniversitesi,20,EYÜPSULTAN,1
2019,2,Anadolu Üniversitesi,23,GÜNGÖREN,1
2020,1,Bahçeşehir Üniversitesi,19,BAĞCILAR,2
2020,1,Manisa Celâl Bayar Üniversitesi,22,BÜYÜKÇEKMECE,1
2019,1,Çanakkale Onsekiz Mart Üniversitesi,19,BAHÇELİEVLER,2
2019,1,Sakarya Üniversitesi,24,BAĞCILAR,1
2020,1,Sivas Cumhuriyet Üniversitesi,22,SANCAKTEPE,1
2020,1,İstanbul Ayvansaray Üniversitesi,19,BEYOĞLU,1
2019,1,Atatürk Üniversitesi,19,ARNAVUTKÖY,1
2019,2,İstanbul Bilgi Üniversitesi,21,ŞİŞLİ,1
2019,2,Bursa Uludağ Üniversitesi,23,ESENLER,1
2019,2,Yalova Üniversitesi,21,BAĞCILAR,2
2019,1,İstanbul Teknik Üniversitesi,19,BAHÇELİEVLER,2
2019,1,Eskişehir Osmangazi Üniversitesi,23,SİLİVRİ,1
2020,1,İstanbul Teknik Üniversitesi,20,BEYLİKDÜZÜ,2
2020,1,İstanbul Okan Üniversitesi,25,ÜMRANİYE,1
2019,1,Marmara Üniversitesi,23,BÜYÜKÇEKMECE,2
2020,1,Gebze Teknik Üniversitesi,18,ESENLER,1
2019,1,Ondokuz Mayıs Üniversitesi,20,GAZİOSMANPAŞA,1
2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,22,TUZLA,1
2020,1,Marmara Üniversitesi,19,BEYOĞLU,6
2020,1,İstanbul Atlas Üniversitesi,19,ATAŞEHİR,1
2019,1,Sakarya Üniversitesi,24,BEYKOZ,1
2019,1,Muğla Sıtkı Koçman Üniversitesi,20,KARTAL,1
2019,1,Yalova Üniversitesi,21,BAŞAKŞEHİR,1
2019,2,Ankara Yıldırım Beyazıt Üniversitesi,19,GAZİOSMANPAŞA,1
